aid	aname	score	synopsis	type	episodes	aired	imageURL	numRating	genre
aid	aname	score	synopsis	type	episodes	aired	imageURL	numRating	genre
54160	Future Kid Takara	0	Future Kid Takara will be an action-packed, family-oriented film set in a dystopian future. The adventure story will feature a girl named Sara who is time warped into the year 2100, where she and the protagonist Takara try to navigate a world ravaged by the effects of global warming. Title and story subject to change\n\n(Source: Kickstarter)	Movie	0	2025-01-01	https://cdn.myanimelist.net/images/anime/1012/132586.jpg	3	Drama
54793	Bloody Escape: Jigoku no Tousou Geki	0	After human experimentation turns Kisaragi into a cyborg, he finds himself pressured by multiple organizations: An undying convent of vampires bent on the conquest of Tokyo, and an immortal order of knights, and a group of Yakuza, sword to avenge the killing of their leader. \n\n"I might not have any reason to live, but that's no reason to let them kill me."\n\nKisaragi will have to use his cyborg-body and his unique "blood," as well as anything else he can to make his big escape!!!\n\n(Source: Official Site, translated)	Movie	1	2024-04-01	https://cdn.myanimelist.net/images/anime/1714/134615.jpg	3	Action, Drama, Sci-Fi, Supernatural
54740	Make a Girl	0	The story follows a high school boy named Akira, who scientifically creates an "artificial girlfriend" named No. 0.\n\n(Source: ANN)	Movie	1	2024-01-01	https://cdn.myanimelist.net/images/anime/1273/134299.jpg	3	Romance, Sci-Fi
55357	Bocchi the Rock! Movie	0	Theatrical compilation of Bocchi the Rock!	Movie	1	2024-01-01	https://cdn.myanimelist.net/images/anime/1009/135981.jpg	3	Comedy
55709	Boku to Roboko Movie	0	The movie version of Boku to Roboko.	Movie	1	2024-01-01	https://cdn.myanimelist.net/images/anime/1277/136554.jpg	3	Comedy, Sci-Fi
53534	i☆Ris the Movie: Full Energy!!	0	A movie inspired by the 10th anniversary celebrations of i☆Ris voice actress idol unit.	Movie	1	2024-01-01	https://cdn.myanimelist.net/images/anime/1808/136640.jpg	3	UNKNOWN
53888	Spy x Family Movie: Code: White	0	No description available for this anime.	Movie	1	2023-12-22	https://cdn.myanimelist.net/images/anime/1232/136569.jpg	3	Action, Comedy
54764	Madogiwa no Totto-chan	0	This engaging series of childhood recollections tells about an ideal school in Tokyo during World War II that combined learning with fun, freedom, and love. This unusual school had old railroad cars for classrooms, and it was run by an extraordinary man-its founder and headmaster, Sosaku Kobayashi--who was a firm believer in freedom of expression and activity.\n\n(Source: Kodansha)	Movie	1	2023-12-01	https://cdn.myanimelist.net/images/anime/1100/137054.jpg	3	Drama
51539	Rabbits Kingdom the Movie	0	No description available for this anime.	Movie	1	2023-12-01	https://cdn.myanimelist.net/images/anime/1701/131747.jpg	3	UNKNOWN
54989	Sylvanian Families Movie: Flair kara no Okurimono	0	Movie for Sylvanian Families	Movie	1	2023-11-23	https://cdn.myanimelist.net/images/anime/1616/136434.jpg	3	Comedy, Fantasy
