user_id,Username,anime_id,Anime Title,rating
55249,SEELE_01,8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,7
1079161,rakky,1132,Digimon Frontier,7
1098271,Master_Ed,32182,Mob Psycho 100,10
715577,Burninggg,578,Hotaru no Haka,9
119365,Krystal,5941,Cross Game,9
986431,zahed7,9919,Ao no Exorcist,8
22009,Satorian,67,Basilisk: Kouga Ninpou Chou,4
357,zhambi,8516,Baka to Test to Shoukanjuu Ni!,5
297015,Dralifer,31043,Boku dake ga Inai Machi,10
1124671,SuzumeBachi666,43,Koukaku Kidoutai,8
682027,Wooser,34751,Blood Lad: Kanketsu Kinen,7
331259,onlywatching,28223,Death Parade,8
397017,Mrthisguy,8277,Hyakka Ryouran: Samurai Girls,10
352342,ZiLaKkA,22961,Date A Live II: Kurumi Star Festival,3
529587,Andromeda_San,780,Detective Conan Movie 02: The Fourteenth Target,6
360749,Tough_REI,5177,Denpa-teki na Kanojo,9
291143,0T4K,3931,Initial D Battle Stage 2,9
566955,enter_sandman92,1195,Zero no Tsukaima,8
998345,MaemiCZ,3588,Soul Eater,8
440950,YukiTsubaki,6211,Tokyo Magnitude 8.0,8
465418,ahimmesenpai,1686,Bleach Movie 1: Memories of Nobody,9
370279,atelierkogarasu,427,Kaleido Star,6
1198429,bowserzeki,16498,Shingeki no Kyojin,10
319319,broken_cylon,4214,Rosario to Vampire Capu2,9
510681,TaraTarantula,1443,Sol Bianca,8
420004,lineage,3667,Strike Witches,7
491268,enoki,4163,Seto no Hanayome OVA,9
81132,Nordsjel,6707,Kuroshitsuji II,7
111549,sonel123,49357,Star Wars: Visions,10
949,chocopocky,33447,Piace: Watashi no Italian,6
42391,Lady_Ren,3024,Ribbon no Kishi,6
998073,zaedas99,12413,Jormungand,9
410487,ayanami3,31478,Bungou Stray Dogs,8
393900,chihiro61298,4654,Toaru Majutsu no Index,10
1081817,IamLaeris,889,Black Lagoon,8
1998,luinthoron,199,Sen to Chihiro no Kamikakushi,6
346927,watsaname,5681,Summer Wars,9
476170,Darkzack,5909,Seitokai no Ichizon,8
333568,Laquendi,9563,Hidamari Sketch x ☆☆☆ Specials,8
78168,Suiren,535,Slayers Next,9
27620,muchrome,5678,Kobato.,8
391434,Eiko_Carol,19447,Arata Kangatari Picture Drama,8
1129933,Rabajiin,6211,Tokyo Magnitude 8.0,9
1265155,d_manzterz,27833,Durarara!!x2 Ketsu,8
469552,Marguerite,119,Final Approach,3
374161,scorpio28b,10681,Blood-C: The Last Dark,6
421928,valkyrie233,9213,Kowarekake no Orgel,10
290106,Nostradamus1989,10162,Usagi Drop,10
491831,Tensai-San,1575,Code Geass: Hangyaku no Lelouch,10
1224935,raguna098,3455,To LOVE-Ru,10
100162,Kotorine-Rin,8187,Fumiko no Kokuhaku,7
53530,gtn4life,2388,Tachiguishi Retsuden,8
477217,Reyio,528,Pokemon Movie 01: Mewtwo no Gyakushuu,8
390440,toomarch,585,Mimi wo Sumaseba,7
1210777,Mimiko_chan,34443,Baki,6
460994,Dixis,132,GetBackers,7
916591,Vario,18041,Rozen Maiden (2013),8
1225535,Vmonkey,8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,8
512244,raechel_papaya,25015,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,7
308352,Lazytimmy,9181,Motto To LOVE-Ru,8
4833,Zlittzor,4192,Hayate no Gotoku!!,10
444349,shirley1994,35241,Konohana Kitan,8
1105589,--kitade--,34148,Nyanko Days,10
409597,Simple_Not,9734,K-On!!: Keikaku!,7
328286,ultra_aleph,34148,Nyanko Days,6
46793,eji,38101,5-toubun no Hanayome,8
559337,Akaimo,30,Neon Genesis Evangelion,7
9068,Tracer,8915,Dantalian no Shoka,5
413352,Infancen,1151,Dominion,7
292458,asuracry,1887,Lucky☆Star,8
305087,jeimii,1195,Zero no Tsukaima,9
81314,hibertansiyar,16498,Shingeki no Kyojin,10
88471,Keishadow,1023,Wolf's Rain OVA,8
26455,kaon9029,226,Elfen Lied,8
105183,M0116,9421,SmaSTATION-3 SMAnime,7
119035,kazmiz01,225,Dragon Ball GT,6
80917,kielus,534,Slayers,6
322559,Suxi,1723,Clannad Movie,4
103074,davismw2000,468,Innocence,9
404473,Resh12,199,Sen to Chihiro no Kamikakushi,7
84911,kyzia,534,Slayers,4
370048,Gutaper4,4896,Umineko no Naku Koro ni,6
409429,Judou,10805,Kami nomi zo Shiru Sekai: 4-nin to Idol,9
485663,lubibul,10588,Persona 4 the Animation,10
98134,PSYDUDE,263,Hajime no Ippo,9
81109,Mecasonic,30736,Shingeki no Bahamut: Virgin Soul,8
440019,misterT,10611,R-15,9
10417,hyakuiro,53,Ai Yori Aoshi,5
32542,Bocknoi,58,Blue Gender,8
541683,Averinn,339,Serial Experiments Lain,8
69386,Kamcio,34599,Made in Abyss,8
7366,sluncer,704,Kanon Kazahana,9
76315,illiteratewhino,15775,Saint☆Oniisan,7
387611,GoldenWoof,849,Suzumiya Haruhi no Yuuutsu,8
317936,Neapoleon,7059,Black★Rock Shooter (OVA),8
69514,Kellybelly42490,882,Yuu☆Yuu☆Hakusho (Movie),8
410631,JayTord,31608,Teekyuu 4 Specials,6
1100087,gurkninja,10165,Nichijou,9
308975,Holon,19367,Galilei Donna,6
1244231,Lustdemon,15539,Unsweet: Netorare Ochita Onna-tachi,8
534897,ecemus,7054,Kaichou wa Maid-sama!,8
387818,Ichimar,52976,Berserk: Ougon Jidai-hen - Memorial Edition,7
339345,NICETOMEETYOU,1575,Code Geass: Hangyaku no Lelouch,9
498759,Bakaryuu,39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,7
621247,DarknessV,9513,Beelzebub,8
539259,Rumy3,17505,Mushibugyou,8
41061,ShootTheBullet,789,Shinigami no Ballad.,6
541219,Crescentsky1991,270,Hellsing,9
117032,BartJAMF,7593,Kiss x Sis (TV),10
755663,-kidd-at-heart-,594,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,8
420749,Eredae,149,Loveless,10
31135,yukihime,585,Mimi wo Sumaseba,8
96585,Tsuabasa,886,Amaenaide yo!! Katsu!!,7
78492,Kayane,4997,Mahoromatic 2 End Year Special,7
63405,shinju1,6547,Angel Beats!,7
356882,taweave,182,Tenkuu no Escaflowne,8
694627,Wizeled,40028,Shingeki no Kyojin: The Final Season,9
20803,Fialka,651,Green Green Thirteen: Erolutions,6
519625,Phantismpkz,237,Koukyoushihen Eureka Seven,9
53740,sledger198,10800,Chihayafuru,8
510757,Yukihara_Koyuki,49979,Akuyaku Reijou nanode Last Boss wo Kattemimashita,7
391554,Cooperation-san,35760,Shingeki no Kyojin Season 3,8
697769,Chris1021,1575,Code Geass: Hangyaku no Lelouch,7
344931,Nesirs,28999,Charlotte,6
354413,NGamerPat,5114,Fullmetal Alchemist: Brotherhood,10
1097867,rynerrain,5530,Pandora Hearts,6
83299,Slyx,8937,Toaru Majutsu no Index II,10
111223,bahaa,4004,Inda no Himekishi Janne,4
516063,Fyrestratis,8630,Hidan no Aria,6
469693,Bas_chann,9756,Mahou Shoujo Madoka★Magica,8
110363,firstmidnight,1887,Lucky☆Star,10
298235,Jate,253,Jungle wa Itsumo Hare nochi Guu,10
475227,Snake4fun,548,Wonderful Days,6
93861,starlovefish,2563,Aria the OVA: Arietta,10
1217219,Muzer,14277,Chitose Get You!!,7
335078,mtgZiggas,13535,Binbougami ga!,6
419566,ouipersevere,1133,Tenchi Muyou! GXP,10
392991,Fuyu_Gin,4879,Mouryou no Hako,5
33918,AnonymousCF,6166,Asobi ni Iku yo!,7
34620,Darkmage530,6746,Durarara!!,6
108784,redstars,227,FLCL,4
541053,krutx,1604,Katekyo Hitman Reborn!,7
1110837,crh325,10491,Higurashi no Naku Koro ni Kira,6
994257,imesquilin,1818,Claymore,9
394088,Arrvilja,6268,Sekishoku Elegy,7
498586,BackStab28,11843,Danshi Koukousei no Nichijou,7
1228367,uber_paddler,6205,Kämpfer,5
118228,sphink,6802,So Ra No Wo To,8
889909,thracias,16353,Love Lab,9
80170,Remor,3665,Ginga Eiyuu Densetsu Gaiden (1999),9
348786,olneykunx2,2167,Clannad,10
320300,MegumiInoue,34659,Otokonoko ♂ Delivery,5
69405,littlemisshinta,5719,Sex Pistols,6
496869,Josejaime,31181,Owarimonogatari,9
92061,RazorKnife,4472,Lucky☆Star: Original na Visual to Animation,8
1266675,Sharinganpro,5114,Fullmetal Alchemist: Brotherhood,9
1099227,Jadz1,24227,Nisekoi OVA,7
81,Ramp,6,Trigun,9
450950,MrPriOriify,34281,High School DxD Hero,9
494158,vibe2191,6573,Darker than Black: Ryuusei no Gemini,9
84030,vala911,16157,Choujigen Game Neptune The Animation,7
458165,tadeulobato,839,Samurai Spirits 2: Asura Zanmaden,10
372034,mnegypt,7674,Bakuman.,8
477976,darkeisu,8726,Soredemo Machi wa Mawatteiru,8
19904,Chaoticnova,467,Koukaku Kidoutai: Stand Alone Complex,8
303774,OniWarrior,5355,Sengoku Basara,7
351180,shadowrep,40540,Sword Art Online: Alicization - War of Underworld 2nd Season,8
351141,FatefulLove,12293,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,7
2569,InNeR_dEmOn258,8408,Durarara!! Specials,7
10541,jackslade,527,Pokemon,4
456082,Wyllds,19,Monster,9
85900,daxterclank,1220,Hoshizora Kiseki,7
1082637,Rekira,343,Tsukuyomi: Moon Phase,8
458570,judg,6024,Chi's Sweet Home: Atarashii Ouchi,7
479132,Yuusha_Motsky,11757,Sword Art Online,9
303621,innocentrap,14967,Boku wa Tomodachi ga Sukunai Next,10
725059,RaidenRobin,6547,Angel Beats!,8
375886,apolloangel,7817,B-gata H-kei,8
424407,n0dl,5114,Fullmetal Alchemist: Brotherhood,10
118048,mrmunchiez,20583,Haikyuu!!,9
378322,andhakai,6033,Dragon Ball Kai,10
1152011,-less,1761,Golgo 13: Queen Bee,7
1108733,vanrokus,31478,Bungou Stray Dogs,8
304253,Elmekia,4472,Lucky☆Star: Original na Visual to Animation,7
3555,Mullet_Power,1535,Death Note,10
1001417,KokoroZ,34148,Nyanko Days,7
118680,Necronomicon,244,Agatha Christie no Meitantei Poirot to Marple,7
14900,alexsiuke,874,Digimon Tamers,8
95602,Keoma,248,Ichigo 100%,9
297,Muda,182,Tenkuu no Escaflowne,8
443369,Kyaka,985,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,8
76472,EuphoricCake,4792,Pokemon: Pikachu Tankentai,7
490588,JK20210,10620,Mirai Nikki (TV),7
312771,XxKaiser89xX,3572,Macross F,8
113854,l0vedeluxe,8348,Tengen Toppa Gurren Lagann: Parallel Works 2,8
569151,raitei_shourai,8425,Gosick,8
574907,Annstis,251,Kyou kara Maou!,6
446958,Kuro_Equinox,21,One Piece,9
73692,Mistrille,465,One Piece Movie 07: Karakuri-jou no Mecha Kyohei,9
1060149,mteav,18153,Kyoukai no Kanata,8
420369,LoveAngel5,22071,Mikakunin de Shinkoukei: Mite. Are ga Watashitachi no Tomatteiru Ryokan yo.,8
101513,Mino-Chan,873,.hack//Roots,4
346819,Aye411,16405,"Boku no Imouto wa ""Osaka Okan""",3
1149785,Unknown2015,15809,Hataraku Maou-sama!,8
65026,Decap,59,Chobits,9
20283,vega_pro,1482,D.Gray-man,9
308014,oikawatoorusiwa,31798,Kiznaiver,9
19297,daflameking,237,Koukyoushihen Eureka Seven,6
1085691,jack-summer386,1601,Red Garden,3
533079,Lizzy8291,21881,Sword Art Online II,7
442538,EniskerryRyu,4181,Clannad: After Story,10
25630,Jonbaruby,1003,Aa! Megami-sama! (TV) Specials,7
1174005,KisukeUrashima,5680,K-On!,7
1239449,Dogville,31043,Boku dake ga Inai Machi,9
991391,HeartlessKuja,11763,Sekai de Ichiban Tsuyoku Naritai!,6
384699,kopparberg,9756,Mahou Shoujo Madoka★Magica,7
1107239,wofie,1689,Byousoku 5 Centimeter,9
1290921,Cylom,11933,Oda Nobuna no Yabou,6
422335,lopetettu,3958,Kannagi,6
367161,Hans_0819,8630,Hidan no Aria,6
57180,Konowal,534,Slayers,8
16801,CheshireSin,41120,Fugou Keiji: Balance:Unlimited,7
1066601,natsu10Dragneel,226,Elfen Lied,6
1168693,boinky,18857,Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,7
1262163,Cyrano99,790,Ergo Proxy,8
415286,Typin,12433,Kyokugen Dasshutsu Adv: Zennin Shibou desu Prologue,8
56172,aayn,761,Naruto: Akaki Yotsuba no Clover wo Sagase,6
332092,Vica,5678,Kobato.,10
12795,J-970,2581,Kidou Senshi Gundam 00,7
85506,Iroul,8074,Highschool of the Dead,8
1203247,d34th0rl1f3,121,Fullmetal Alchemist,9
977567,Galadei,24833,Ansatsu Kyoushitsu,8
304516,Sandman1,226,Elfen Lied,6
101357,emperortopaz,30782,Bikini Warriors,6
424998,amberkinn,24873,Juuou Mujin no Fafnir,6
82885,shadowyguy,3927,Kidou Senshi Gundam 00 Second Season,9
65714,JDGBOLT,113,Uchuu no Stellvia,8
1130591,Jerazol,3784,Evangelion: 2.0 You Can (Not) Advance,8
1202525,Gwendolynnie,1535,Death Note,9
61353,zombieswhatever,11759,Accel World,9
471944,Mandarni,121,Fullmetal Alchemist,5
1103427,SonnyOn,4224,Toradora!,9
13722,Krova,72,Full Metal Panic? Fumoffu,10
118640,Keirik,12565,Fate/Prototype,7
1193491,BigBoss00,10495,Yuru Yuri,7
939761,DaHp,10155,Dog Days,7
25078,winsomemastix,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,7
95691,Anaglyph,205,Samurai Champloo,7
478149,Dokke,10897,Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi,7
390754,thunder-G,7592,Nurarihyon no Mago,7
1185213,Ingolf4Life,18277,Strike the Blood,8
24568,smetske,343,Tsukuyomi: Moon Phase,6
94457,Xanda,6211,Tokyo Magnitude 8.0,8
7562,COTAKU,1575,Code Geass: Hangyaku no Lelouch,8
1195579,SzelkiPana,31181,Owarimonogatari,10
382356,colbymcgovern92,40646,Yes ka No ka Hanbun ka,7
533409,Timinator-Ozwaz,32360,Qualidea Code,8
401143,EmOUchihaHime,13601,Psycho-Pass,9
44497,KisKas,1160,Gundress,5
443080,vexamen,1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,9
377966,digiko,116,El Hazard: The Wanderers,7
293981,Exfinia,2923,Shugo Chara!,9
479133,Saidryian,2035,Eikoku Koi Monogatari Emma: Molders-hen,6
611645,Patoy,431,Howl no Ugoku Shiro,9
54127,xboxser,2234,Panda-Z: The Robonimation,5
39480,dinora12,28297,Ore Monogatari!!,8
349022,Saintel,1691,Kaze no Stigma,8
317044,ZeroNeo,4278,Shishunki Shoujo,7
82293,aggiegumboeater,202,Wolf's Rain,10
1158067,Sameco1,10497,Hetalia World Series Specials,7
326558,Kordal,6372,Higashi no Eden Movie I: The King of Eden,9
481002,kuxota,7791,K-On!!,8
1105589,--kitade--,1840,Zero no Tsukaima: Futatsuki no Kishi,8
60099,Sch4live,3457,Vampire Knight,8
446068,Bstatic,11757,Sword Art Online,10
1105907,PainlessPassion,3231,Gunslinger Girl: Il Teatrino,7
501936,novembertwelfth,19365,Samurai Flamenco,9
402117,o0mrg0o,21855,Hanamonogatari,9
463332,reed2711,9539,Cardfight!! Vanguard,5
427243,UsagixKitsune,650,Gunsmith Cats,7
315107,ThatKaruGuy,1564,Pokemon Advanced Generation,7
65248,hurtexpress,760,Tenjou Tenge: The Past Chapter,10
338072,Kaede4,14921,RDG: Red Data Girl,8
290999,damnupucci,4081,Natsume Yuujinchou,7
372014,Niexa,1827,Seirei no Moribito,9
12881,Yangzhou,2144,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,10
9416,HikariNoRexen,1336,Kyoushoku Soukou Guyver II,9
1086037,WhyNoHon,15109,Cuticle Tantei Inaba,8
1188307,audreyleowhl,1686,Bleach Movie 1: Memories of Nobody,10
1057499,-Kage,476,Ginban Kaleidoscope,7
643201,Ignorance,16009,Kamisama no Inai Nichiyoubi,9
97003,sketchmeup,10408,Hotarubi no Mori e,7
29517,Adam-Kun,490,Paniponi Dash!,5
483329,EslN96,2993,Rosario to Vampire,8
652,Wyko,120,Fruits Basket,7
333763,Haykiro,4224,Toradora!,7
525089,Limitek,269,Bleach,6
31208,Prudenzzz,942,Nishi no Yoki Majo: Astraea Testament,8
85475,Shesha,4182,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,9
386409,pandamania,174,Tenjou Tenge,7
367423,oblivios,6956,Working!!,10
753997,Effeli,32998,91 Days,8
394455,raven_o11,5680,K-On!,10
1062513,lukasz18dg,13667,Naruto: Shippuuden Movie 6 - Road to Ninja,8
500106,Szabu,22319,Tokyo Ghoul,6
1133305,dr_hobo,9041,IS: Infinite Stratos,8
24456,Stringed,31500,High School Fleet,8
570023,2gee,8516,Baka to Test to Shoukanjuu Ni!,7
399944,LilyChiba,168,s.CRY.ed,10
348396,shad0wgurl,585,Mimi wo Sumaseba,9
9288,Gladius,32828,Amaama to Inazuma,5
390480,StinkyIkari,237,Koukyoushihen Eureka Seven,7
388092,yeti1337,1535,Death Note,10
8749,_spice,334,Marmalade Boy,2
102237,Anjira,32828,Amaama to Inazuma,9
63260,Airhawk,16498,Shingeki no Kyojin,8
973529,Lhamatorrinco,40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,6
475403,TrustTheFungus,35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,7
328984,reem791,3167,Eve no Jikan,8
498464,Shih,10357,Jinrui wa Suitai Shimashita,8
509887,OrenjiKitsune,9314,Fractale,7
603033,cheshiire,1482,D.Gray-man,8
88995,zlobcho,556,Koutetsu Tenshi Kurumi Zero,7
9957,justice_form,407,Tantei Gakuen Q,9
43026,Ereos,84,Kidou Senshi Gundam 0083: Stardust Memory,8
39537,Hak,164,Mononoke Hime,10
88386,Shine,5177,Denpa-teki na Kanojo,7
1090917,99XenoviaDxD,2515,Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation,7
567263,AngelOfDeathMD,10213,Maji de Watashi ni Koi Shinasai!,7
814901,Crushinator,2167,Clannad,8
85087,Vixen,1023,Wolf's Rain OVA,4
8913,mikkeneko,553,Yami no Matsuei,10
307402,infinityplusone,4224,Toradora!,10
328240,moha1413,2167,Clannad,8
78751,skyUFO,36407,Kenja no Mago,7
369282,Looboer,8086,Densetsu no Yuusha no Densetsu,8
114204,zaser,68,Black Cat (TV),10
38700,unlucky_ducky,1536,Busou Renkin,8
381571,OmoshiRoy,34382,Citrus,7
559257,alexa_kur,4177,Bounen no Xamdou,6
59228,Kyuuzuki,3105,Chikansha Thomas,6
379254,revenge1337,10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,10
100218,LittlePidgey4,3043,Andersen Douwa: Ningyohime,7
496816,natylachik,31680,Super Lovers,8
567919,canblas,534,Slayers,9
1217249,jasumintea,3457,Vampire Knight,6
4038,Deathwing,18153,Kyoukai no Kanata,9
1056965,koizumi193,19815,No Game No Life,9
1278357,kiraah,7580,Ikkitousen: Xtreme Xecutor,4
496393,RobotSpaceCowboy,889,Black Lagoon,8
328594,NorthStarr_Angel,1914,Saiunkoku Monogatari 2nd Season,7
490347,ebcdic-ascii,40028,Shingeki no Kyojin: The Final Season,10
481786,CrystalBreeze,72,Full Metal Panic? Fumoffu,8
14882,Starch,16,Hachimitsu to Clover,5
91543,vaughn,20,Naruto,9
1212223,aurora-teiko,4879,Mouryou no Hako,9
1234323,Paniniboy,32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10
72753,AgentCH,13055,Sankarea OVA,7
799427,theblackanimeguy,225,Dragon Ball GT,6
536127,puwaberries,205,Samurai Champloo,5
475002,AEssence,61,D.N.Angel,6
518635,ckiozg54,6675,Redline,9
537881,DisasterSession,408,Final Fantasy VII: Last Order,8
468760,cookienator,33255,Saiki Kusuo no Ψ-nan,8
74481,StarJi,512,Majo no Takkyuubin,8
114718,Deacy,856,Utawarerumono,7
1274345,pinklett,28891,Haikyuu!! Second Season,9
414143,sonicH_lonely,457,Mushishi,8
496569,WildChild109,509,I My Me! Strawberry Eggs,5
54865,QuizMasterDelux,297,Grenadier: Hohoemi no Senshi,8
1132869,Nick_05,2966,Ookami to Koushinryou,8
494356,Tentro,13601,Psycho-Pass,7
54958,C2S2,4081,Natsume Yuujinchou,9
1217205,tgaffer,1530,Kanon (2006),9
333936,Kerozinn,433,"Kumo no Mukou, Yakusoku no Basho",8
17566,Lil34,513,Tenkuu no Shiro Laputa,10
546970,Articwolf,8514,Break Blade Movie 2: Ketsubetsu no Michi,8
542991,iarspider,13391,Rakuen Tsuihou,9
563479,4RR094N773,10119,Seitokai Yakuindomo OVA,9
493689,MaJo0oDe,8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,8
388395,ulas,618,Juubee Ninpuuchou: Ryuuhougyoku-hen,8
360511,DinosA,8630,Hidan no Aria,6
71447,KamCams,2966,Ookami to Koushinryou,9
417887,OncomingTraffic,18245,White Album 2,7
16111,Loveless_Soul,4725,Ga-Rei: Zero,7
349458,Rushii,1190,Tennis no Ouji-sama: Sonzoku Yama no Hi,7
475340,Die-O,4896,Umineko no Naku Koro ni,10
868675,ShioriYuuki,53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,7
46019,danjiro,3058,Darling,6
312279,Booneh,190,Love Hina Again,8
633217,firebrd,3702,Detroit Metal City,9
106689,Zoroku,15613,Hakkenden: Touhou Hakken Ibun,7
546182,twownsu,29785,Jitsu wa Watashi wa,6
118745,Kaito_X,6033,Dragon Ball Kai,7
290400,Popol,389,Karas,8
91468,sirOwlBeak,1151,Dominion,7
66486,dothacker22,5538,Tegamibachi: Hikari to Ao no Gensou Yawa,7
1194463,sleepingdog,4975,ChäoS;HEAd,6
306639,RocketMan131,2144,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panic Dattebayo!,6
1099923,jenryalee_,20787,Black Bullet,9
489433,grayrebornnhy,33524,Sakamoto desu ga? Sakamoto deshita?,6
102548,Ruby-Black,793,xxxHOLiC Movie: Manatsu no Yoru no Yume,8
9734,kaszak696,1210,NHK ni Youkoso!,10
511210,DrOppy,50,Aa! Megami-sama! (TV),5
1075243,jinnijinjin,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8
112864,DonDiablo,468,Innocence,8
480595,OtakuMelisa,8557,Shinryaku! Ika Musume,7
309338,Frown,6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",9
315396,Noof_,28,Yakitate!! Japan,9
557155,Niwade,9756,Mahou Shoujo Madoka★Magica,8
39804,TomoyoSakagami89,477,Aria the Animation,6
46019,danjiro,563,DNA²,8
10214,PikaChika,451,InuYasha Movie 3: Tenka Hadou no Ken,8
113019,linzzchrono,9919,Ao no Exorcist,8
119111,ahin,6594,Katanagatari,8
351019,the_hell_kid,358,"Iriya no Sora, UFO no Natsu",10
459025,Dranzell,14741,Chuunibyou demo Koi ga Shitai!,6
79074,Asnanon,14829,Fate/kaleid liner Prisma☆Illya,7
328501,Werewolfhero,537,Tekken,8
406593,nik-s,134,Gunslinger Girl,5
15539,m-cee,2476,School Days,7
96009,Tarahiro,16894,Kuroko no Basket 2nd Season,9
502156,TheFightingDoll,468,Innocence,4
1180763,DeiiChan,34096,Gintama.,10
524589,WhiteAvenger,8795,Panty & Stocking with Garterbelt,9
383118,Yoruichy,7592,Nurarihyon no Mago,8
65258,Blivionis,981,Ichigo 100% OVA,9
311111,vonthorr,25,Sunabouzu,9
490929,jinxyoung,18507,Free!,7
